,b3405,b0149,b1733,b0926,b0187,b2516,b0014,b1855,b3609,b3176,b4042,b0214,b0222,b2525,b2594,b2820,b3177,b2697,b3299,b0416,b0053,b0737,b3052,b0740,b2608,b3233,b3472,b3613,b2894,b3019,b3621,b2822,b3167,b3164,b3961,b3984,b3165,b3736,b2827,b1237,b0659,b2232,b4025,b0161,b2512,b1203,b3631,b0677,b3935,b3734,#N/A,#N/A,b1105,b4362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,0.085,0.671,0.139,0.682,0.096,0.086,0.083,0.736,0.71,0.765,0.084,0.707,0.762,0.085,0.084,0.086,0.085,0.086,0.082,0.083,0.083,0.605,0.755,0.084,0.769,0.087,0.083,0.129,0.083,0.766,0.634,0.083,0.085,0.088,0.66,0.634,0.083,0.092,0.084,0.084,0.084,0.12,0.085,0.081,0.082,0.084,0.789,0.084,0.085,0.253,0.082,0.084,0.138,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
5.25,0.085,0.698,0.139,0.697,0.092,0.087,0.083,0.749,0.732,0.774,0.084,0.729,0.77,0.086,0.084,0.086,0.085,0.086,0.082,0.083,0.083,0.621,0.764,0.084,0.785,0.087,0.083,0.142,0.083,0.781,0.643,0.084,0.085,0.088,0.674,0.655,0.083,0.092,0.084,0.084,0.085,0.125,0.085,0.082,0.082,0.084,0.799,0.084,0.085,0.254,0.083,0.084,0.158,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
5.5,0.085,0.72,0.139,0.712,0.093,0.086,0.083,0.758,0.749,0.779,0.084,0.748,0.774,0.086,0.084,0.086,0.085,0.086,0.082,0.083,0.083,0.633,0.769,0.084,0.802,0.087,0.083,0.157,0.083,0.794,0.655,0.083,0.085,0.088,0.687,0.674,0.083,0.092,0.084,0.084,0.084,0.131,0.085,0.082,0.082,0.084,0.806,0.084,0.085,0.253,0.082,0.084,0.182,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
5.75,0.085,0.738,0.138,0.725,0.094,0.087,0.083,0.765,0.763,0.787,0.084,0.763,0.777,0.086,0.084,0.086,0.085,0.086,0.082,0.083,0.083,0.643,0.772,0.084,0.819,0.087,0.083,0.168,0.083,0.804,0.666,0.083,0.085,0.088,0.696,0.69,0.083,0.092,0.084,0.084,0.085,0.138,0.085,0.082,0.082,0.084,0.809,0.084,0.085,0.254,0.082,0.084,0.22,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
6,0.085,0.756,0.139,0.739,0.097,0.087,0.083,0.771,0.775,0.788,0.085,0.775,0.778,0.086,0.084,0.086,0.085,0.086,0.083,0.083,0.084,0.654,0.774,0.084,0.823,0.088,0.083,0.184,0.083,0.809,0.676,0.084,0.085,0.088,0.704,0.705,0.083,0.092,0.084,0.084,0.084,0.147,0.085,0.082,0.082,0.084,0.811,0.084,0.085,0.254,0.083,0.084,0.255,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
6.25,0.085,0.769,0.138,0.751,0.101,0.1,0.083,0.775,0.786,0.788,0.085,0.788,0.778,0.086,0.084,0.086,0.085,0.086,0.082,0.083,0.084,0.663,0.774,0.084,0.823,0.087,0.083,0.21,0.083,0.811,0.685,0.084,0.085,0.088,0.706,0.714,0.083,0.092,0.084,0.084,0.085,0.156,0.085,0.082,0.082,0.084,0.812,0.084,0.085,0.254,0.082,0.084,0.284,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
6.5,0.085,0.78,0.138,0.761,0.101,0.088,0.083,0.778,0.794,0.786,0.085,0.8,0.776,0.086,0.085,0.086,0.085,0.086,0.082,0.083,0.084,0.671,0.773,0.084,0.819,0.087,0.083,0.241,0.083,0.811,0.693,0.084,0.085,0.088,0.706,0.721,0.083,0.092,0.084,0.084,0.085,0.165,0.085,0.082,0.082,0.084,0.812,0.084,0.085,0.254,0.083,0.084,0.324,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
6.75,0.085,0.788,0.138,0.77,0.107,0.089,0.083,0.78,0.802,0.785,0.086,0.807,0.773,0.086,0.084,0.086,0.085,0.086,0.083,0.083,0.084,0.679,0.77,0.084,0.813,0.087,0.083,0.262,0.083,0.81,0.698,0.084,0.086,0.088,0.704,0.725,0.083,0.092,0.084,0.084,0.085,0.169,0.085,0.082,0.082,0.084,0.811,0.084,0.085,0.254,0.083,0.084,0.378,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
7,0.085,0.795,0.137,0.779,0.118,0.089,0.083,0.78,0.808,0.783,0.087,0.805,0.77,0.086,0.084,0.086,0.085,0.086,0.082,0.084,0.084,0.685,0.767,0.084,0.808,0.087,0.083,0.28,0.083,0.808,0.703,0.083,0.085,0.088,0.702,0.725,0.083,0.091,0.084,0.084,0.084,0.172,0.085,0.082,0.082,0.084,0.81,0.084,0.085,0.254,0.082,0.084,0.412,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
7.25,0.085,0.8,0.137,0.787,0.125,0.09,0.083,0.779,0.812,0.779,0.088,0.801,0.766,0.086,0.084,0.086,0.085,0.086,0.082,0.085,0.084,0.69,0.764,0.084,0.802,0.087,0.083,0.308,0.083,0.805,0.706,0.084,0.086,0.088,0.7,0.719,0.083,0.091,0.084,0.084,0.085,0.175,0.085,0.082,0.082,0.084,0.81,0.084,0.085,0.254,0.082,0.084,0.439,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
7.5,0.085,0.805,0.137,0.793,0.148,0.091,0.083,0.777,0.816,0.776,0.09,0.798,0.763,0.086,0.085,0.086,0.085,0.086,0.083,0.083,0.084,0.693,0.762,0.084,0.797,0.087,0.083,0.326,0.083,0.801,0.71,0.084,0.086,0.088,0.696,0.715,0.083,0.092,0.084,0.084,0.085,0.177,0.085,0.082,0.082,0.084,0.809,0.084,0.085,0.254,0.082,0.084,0.466,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
7.75,0.085,0.807,0.138,0.797,0.165,0.092,0.083,0.775,0.819,0.774,0.092,0.794,0.762,0.086,0.085,0.086,0.085,0.086,0.083,0.083,0.084,0.696,0.759,0.084,0.794,0.087,0.083,0.352,0.083,0.797,0.712,0.084,0.086,0.088,0.694,0.714,0.083,0.092,0.084,0.084,0.085,0.179,0.085,0.082,0.082,0.084,0.808,0.084,0.085,0.255,0.082,0.084,0.494,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
