,b1638,b2311,b3731,b3732,b4094,#N/A,b3735,#N/A,b3737,b3738,b3067,b3058,b3437,#N/A,b3809,b0887,b1054,b3733,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,0.183,0.084,0.366,0.644,0.305,0.269,0.75,0.082,0.217,0.231,0.22,0.218,0.752,0.761,0.767,0.083,0.787,0.092,0.081,0.225,0.082,0.082,0.081,0.083,0.187,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
5.25,0.203,0.084,0.382,0.662,0.304,0.269,0.763,0.082,0.218,0.231,0.22,0.218,0.76,0.769,0.773,0.083,0.798,0.093,0.081,0.225,0.082,0.082,0.081,0.083,0.202,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.092,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
5.5,0.232,0.084,0.396,0.678,0.303,0.269,0.772,0.083,0.218,0.231,0.22,0.219,0.766,0.774,0.777,0.083,0.806,0.095,0.081,0.225,0.082,0.082,0.081,0.083,0.224,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.091,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
5.75,0.277,0.084,0.408,0.694,0.303,0.27,0.781,0.083,0.219,0.231,0.22,0.22,0.768,0.775,0.777,0.083,0.813,0.097,0.081,0.226,0.082,0.082,0.081,0.083,0.251,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.09,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
6,0.313,0.084,0.417,0.707,0.302,0.27,0.787,0.083,0.219,0.231,0.219,0.221,0.77,0.777,0.776,0.083,0.823,0.1,0.081,0.226,0.082,0.083,0.081,0.083,0.286,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
6.25,0.358,0.084,0.424,0.719,0.301,0.27,0.791,0.083,0.219,0.23,0.219,0.221,0.769,0.776,0.774,0.083,0.827,0.102,0.081,0.227,0.082,0.082,0.081,0.083,0.325,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.084,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
6.5,0.409,0.084,0.431,0.729,0.301,0.27,0.792,0.083,0.218,0.23,0.219,0.221,0.769,0.774,0.771,0.083,0.823,0.106,0.081,0.227,0.082,0.083,0.081,0.083,0.364,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
6.75,0.456,0.084,0.437,0.74,0.301,0.27,0.793,0.083,0.218,0.23,0.218,0.221,0.767,0.77,0.767,0.083,0.816,0.11,0.081,0.227,0.082,0.083,0.081,0.083,0.406,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.089,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
7,0.491,0.084,0.443,0.749,0.3,0.271,0.792,0.083,0.216,0.23,0.218,0.221,0.766,0.767,0.764,0.083,0.81,0.114,0.081,0.227,0.082,0.083,0.081,0.083,0.446,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.091,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
7.25,0.524,0.084,0.449,0.759,0.299,0.271,0.79,0.083,0.216,0.23,0.218,0.221,0.764,0.763,0.76,0.083,0.804,0.118,0.081,0.228,0.082,0.083,0.082,0.083,0.486,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
7.5,0.554,0.084,0.455,0.765,0.297,0.27,0.786,0.083,0.216,0.231,0.218,0.221,0.764,0.76,0.757,0.083,0.798,0.122,0.081,0.228,0.082,0.083,0.081,0.083,0.524,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
7.75,0.58,0.084,0.461,0.773,0.295,0.27,0.782,0.083,0.215,0.23,0.216,0.221,0.763,0.758,0.754,0.083,0.794,0.128,0.081,0.228,0.082,0.083,0.081,0.083,0.559,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
